action,action_family_bm25,action_family_ce_rerank,action_family_dense,action_family_external,action_family_rerank,action_family_rrf,action_family_weighted,action_id_bm25_post,action_id_bm25_pre,action_id_dense_e5_base_v2_post,action_id_dense_e5_base_v2_pre,action_id_dense_post,action_id_dense_pre,action_id_rerank_depth_20,action_id_rrf_dense_e5_base_v2_post,action_id_rrf_dense_e5_base_v2_pre,action_id_rrf_post,action_id_rrf_pre,action_id_weighted_dense_e5_base_v2_post,action_id_weighted_dense_e5_base_v2_pre,action_id_weighted_post,action_id_weighted_pre,action_is_rerank,action_mode_post,action_mode_pre,action_rerank_depth,bm25_entropy,bm25_gap,bm25_top_score,candidate_count,dataset,dense_entropy,dense_gap,dense_top_score,latency_ms,ndcg10,probe_latency_ms,probe_overlap,qid,query_digit_ratio,query_len,recall100,selectivity
bm25_post,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,5.754017821699381,0.7786015960080509,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.7083333333333334,1.0
dense_post,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,86.75505927875638,0.7923935461056428,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.75,1.0
rrf_post,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1.0,,,,,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,92.59712099209428,0.8386628542598276,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.7916666666666666,1.0
weighted_post,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,92.72655201256275,0.8386628542598276,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.75,1.0
bm25_pre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,5.704017821699381,0.7786015960080509,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.7083333333333334,1.0
dense_pre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,0.0,0.0,1.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,86.70505927875638,0.7923935461056428,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.75,1.0
dense_e5_base_v2_post,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,118.98926607444882,0.7923935461056428,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.7083333333333334,1.0
dense_e5_base_v2_pre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,118.93926607444882,0.7923935461056428,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.7083333333333334,1.0
rrf_dense_e5_base_v2_post,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,,,,,,,,0.0,1.0,0.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,124.81798659190535,0.8421098789452184,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.75,1.0
rrf_dense_e5_base_v2_pre,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,0.0,2.9651836922873622,0.1503234642654938,19.693499809392282,100,nfcorpus,2.993756981987474,0.0011907219886779785,0.8542038202285767,124.76376164704561,0.8421098789452184,40.63977999612689,0.48148148148148145,PLAIN-2,0.0,7,0.75,1.0
