budget_ms,policy,mean_ms,p95_ms,p99_ms,slo_violation,ndcg10,throughput_qps
10.0,CWC,3.220816048533154,7.088276951108128,7.772790055256335,0.0,0.09531735662417498,310.81056871393986
10.0,CostGreedy-cal,1.6116177961613822,3.489785362035036,3.7755559645593157,0.0,0.09569669610135245,613.6979211337011
10.0,Oracle-perItem,0.8581140514701643,2.3477852693758896,3.3569886009208845,0.0,0.12073133204707294,1128.725470051941
10.0,Static-BestQuality,85.14319003856592,135.44620646396652,140.57904261630028,1.0,0.1078528973668175,11.742529979835744
10.0,Static-Fallback,1.6171247101828439,3.4735089051537216,3.7556382212787867,0.0,0.09569669610135245,611.7538755140597
10.0,StaticBest-cal,1.6203574871840118,3.515129934530705,3.862351099960505,0.0,0.09569669610135245,610.6177084552627
25.0,CWC,3.1780419414557692,6.965685309842229,7.597478749230502,0.0,0.09531735662417498,315.68393220744207
25.0,CostGreedy-cal,1.5823355327927011,3.414163424167782,3.653051010798662,0.0,0.09569669610135245,624.9329622899223
25.0,Oracle-perItem,3.186878913346326,20.589418697636575,24.084590260870748,0.005613444966891069,0.1249203723368167,310.8577168286515
25.0,Static-BestQuality,83.9006816623926,132.63018472818658,136.93692789319903,1.0,0.1078528973668175,11.916443631306802
25.0,Static-Fallback,1.5866635360977188,3.4037618641741574,3.6638483866117895,0.0,0.09569669610135245,623.4212629866205
25.0,StaticBest-cal,1.5906274728818177,3.4242875780910254,3.6616013539023697,0.0,0.09569669610135245,621.7143160820951
50.0,CWC,7.486267312949062,26.368465069681406,40.49665673868731,0.00871559633027523,0.09724234773834742,181.51134796146397
50.0,CostGreedy-cal,1.5529250627310847,3.33541915519163,3.653616478201001,0.0,0.09569669610135245,636.6192785529723
50.0,Oracle-perItem,4.9394987641485155,28.2741882209666,44.57853142637758,0.0004640371229698376,0.12880058436120012,202.53136773792488
50.0,Static-BestQuality,84.01123738622991,133.44054079148918,140.68249087594447,0.8426164554734212,0.1078528973668175,11.900713321404785
50.0,Static-Fallback,1.5575530633360941,3.3563615544699132,3.6348261195234945,0.0,0.09569669610135245,634.699029318881
50.0,StaticBest-cal,1.5999873900434576,3.420526054687798,3.783354872837662,0.0,0.09569669610135245,618.9816363366547
100.0,CWC,39.19132354260468,82.1283019008115,89.96014593914151,0.006880733944954129,0.10125781606809903,27.065082815092076
100.0,CostGreedy-cal,55.91647787126222,100.82604327937588,104.38825449952856,0.08236067083633809,0.10457219268000828,17.876630055822595
100.0,Oracle-perItem,10.966825110565347,74.72784630721435,97.87278549326581,0.0074961066324834,0.13431575795121134,90.9407715526767
100.0,Static-BestQuality,84.11496423557755,133.93633925588802,140.6755878245458,0.3723163324984441,0.1078528973668175,11.886016572802276
100.0,Static-Fallback,28.89462975539833,63.17944355076179,65.59105184162034,0.0,0.09669720848376051,155.5524199515307
100.0,StaticBest-cal,67.50847961770418,114.43765979027376,120.08613728964698,0.20421342716915442,0.10540557552492133,15.432613716365292
