tau,rule,prospective,method,blocks,admitted_frac,breaches,breach_rate_among_admitted,mean_utility,mean_realized_violation,mean_ndcg
0.1,certificate,True,CWC,30,0.9,0,0.0,0.5199299755004823,0.0036301713112260907,0.5799633603566389
0.1,certificate,True,StaticBest-cal,30,0.5,0,0.0,0.2998914957788522,0.0271124815777085,0.6000766818165407
0.1,certificate,True,CostGreedy-cal,30,0.3333333333333333,0,0.0,0.2000255606055136,0.029595449748149826,0.6000766818165407
0.1,certificate,True,Static-Qwen3,30,0.5,0,0.0,0.2998914957788522,0.0271124815777085,0.6000766818165407
0.1,certificate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,certificate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,certificate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,eb-nocorrection,True,CWC,30,1.0,0,0.0,0.5799633603566389,0.0036301713112260907,0.5799633603566389
0.1,eb-nocorrection,True,StaticBest-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.1,eb-nocorrection,True,CostGreedy-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.029595449748149826,0.6000766818165407
0.1,eb-nocorrection,True,Static-Qwen3,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.1,eb-nocorrection,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,eb-nocorrection,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,eb-nocorrection,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,point-estimate,True,CWC,30,1.0,0,0.0,0.5799633603566389,0.0036301713112260907,0.5799633603566389
0.1,point-estimate,True,StaticBest-cal,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,point-estimate,True,CostGreedy-cal,30,1.0,0,0.0,0.6000766818165407,0.029595449748149826,0.6000766818165407
0.1,point-estimate,True,Static-Qwen3,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,point-estimate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,point-estimate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,point-estimate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,posthoc-oracle,False,CWC,30,1.0,0,0.0,0.5799633603566389,0.0036301713112260907,0.5799633603566389
0.1,posthoc-oracle,False,StaticBest-cal,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,posthoc-oracle,False,CostGreedy-cal,30,1.0,0,0.0,0.6000766818165407,0.029595449748149826,0.6000766818165407
0.1,posthoc-oracle,False,Static-Qwen3,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
