tau,rule,prospective,method,blocks,admitted_frac,breaches,breach_rate_among_admitted,mean_utility,mean_realized_violation,mean_ndcg
0.05,certificate,True,CWC,45,0.0,0,0.0,0.0,0.007169439806689095,0.6391314118180745
0.05,eb-nocorrection,True,CWC,45,0.0,0,0.0,0.0,0.007169439806689095,0.6391314118180745
0.05,eb-nocorrection,True,StaticBest-cal,45,0.0,0,0.0,0.0,0.0020986641355832196,0.6371747970918201
0.05,eb-nocorrection,True,CostGreedy-cal,45,0.0,0,0.0,0.0,0.002774785044940251,0.6369378976128216
0.05,eb-nocorrection,True,Static-Qwen3,45,0.0,0,0.0,0.0,0.0886201981390771,0.6382872369767865
0.05,eb-nocorrection,True,Static-SPLADE,45,0.0,0,0.0,0.0,0.00020642359616777952,0.6050170867690612
0.05,eb-nocorrection,True,Static-ColBERTv2,45,0.0,0,0.0,0.0,0.5833480052096466,0.5839478086171469
0.05,eb-nocorrection,True,Static-E5,45,0.0,0,0.0,0.0,0.0,0.541808238639833
0.05,point-estimate,True,CWC,45,0.9777777777777777,2,0.045454545454545456,0.5369566685390736,0.007169439806689095,0.6391314118180745
0.05,point-estimate,True,StaticBest-cal,45,1.0,0,0.0,0.6371747970918201,0.0020986641355832196,0.6371747970918201
0.05,point-estimate,True,CostGreedy-cal,45,1.0,0,0.0,0.6369378976128216,0.002774785044940251,0.6369378976128216
0.05,point-estimate,True,Static-Qwen3,45,0.7777777777777778,0,0.0,0.4470353893924575,0.0886201981390771,0.6382872369767865
0.05,point-estimate,True,Static-SPLADE,45,1.0,0,0.0,0.6050170867690612,0.00020642359616777952,0.6050170867690612
0.05,point-estimate,True,Static-ColBERTv2,45,0.0,0,0.0,0.0,0.5833480052096466,0.5839478086171469
0.05,point-estimate,True,Static-E5,45,1.0,0,0.0,0.541808238639833,0.0,0.541808238639833
0.05,posthoc-oracle,False,CWC,45,0.9333333333333333,0,0.0,0.581401112983518,0.007169439806689095,0.6391314118180745
0.05,posthoc-oracle,False,StaticBest-cal,45,1.0,0,0.0,0.6371747970918201,0.0020986641355832196,0.6371747970918201
0.05,posthoc-oracle,False,CostGreedy-cal,45,1.0,0,0.0,0.6369378976128216,0.002774785044940251,0.6369378976128216
0.05,posthoc-oracle,False,Static-Qwen3,45,0.7777777777777778,0,0.0,0.4470353893924575,0.0886201981390771,0.6382872369767865
0.05,posthoc-oracle,False,Static-SPLADE,45,1.0,0,0.0,0.6050170867690612,0.00020642359616777952,0.6050170867690612
0.05,posthoc-oracle,False,Static-ColBERTv2,45,0.0,0,0.0,0.0,0.5833480052096466,0.5839478086171469
0.05,posthoc-oracle,False,Static-E5,45,1.0,0,0.0,0.541808238639833,0.0,0.541808238639833
0.1,certificate,True,CWC,45,0.0,0,0.0,0.0,0.007169439806689095,0.6391314118180745
0.1,eb-nocorrection,True,CWC,45,0.0,0,0.0,0.0,0.007169439806689095,0.6391314118180745
0.1,eb-nocorrection,True,StaticBest-cal,45,0.0,0,0.0,0.0,0.0020986641355832196,0.6371747970918201
0.1,eb-nocorrection,True,CostGreedy-cal,45,0.0,0,0.0,0.0,0.002774785044940251,0.6369378976128216
0.1,eb-nocorrection,True,Static-Qwen3,45,0.0,0,0.0,0.0,0.0886201981390771,0.6382872369767865
0.1,eb-nocorrection,True,Static-SPLADE,45,0.0,0,0.0,0.0,0.00020642359616777952,0.6050170867690612
0.1,eb-nocorrection,True,Static-ColBERTv2,45,0.0,0,0.0,0.0,0.5833480052096466,0.5839478086171469
0.1,eb-nocorrection,True,Static-E5,45,0.0,0,0.0,0.0,0.0,0.541808238639833
0.1,point-estimate,True,CWC,45,1.0,0,0.0,0.6391314118180745,0.007169439806689095,0.6391314118180745
0.1,point-estimate,True,StaticBest-cal,45,1.0,0,0.0,0.6371747970918201,0.0020986641355832196,0.6371747970918201
0.1,point-estimate,True,CostGreedy-cal,45,1.0,0,0.0,0.6369378976128216,0.002774785044940251,0.6369378976128216
0.1,point-estimate,True,Static-Qwen3,45,0.8,1,0.027777777777777776,0.4248131671702353,0.0886201981390771,0.6382872369767865
0.1,point-estimate,True,Static-SPLADE,45,1.0,0,0.0,0.6050170867690612,0.00020642359616777952,0.6050170867690612
0.1,point-estimate,True,Static-ColBERTv2,45,0.0,0,0.0,0.0,0.5833480052096466,0.5839478086171469
