dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,80.0,13,CWC,0.049155244021228964,0.020031695888927413,0.001303154946097578,0.004411265693926026,0.004411265693926026,0.44541540388891493
pooled,80.0,13,StaticBest-cal,,0.050387013726298904,0.02110922270686706,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,CostGreedy-cal,,0.050387013726298904,0.02110922270686706,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,Static-Qwen3,,0.050387013726298904,0.02110922270686706,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,Static-SPLADE,,0.020031695888927413,0.001303154946097578,0.002716161158895428,0.002716161158895428,0.5496473642904863
pooled,80.0,13,Static-ColBERTv2,,0.5315460938017331,0.49828534575243244,0.8756527415143603,0.8756527415143603,0.6250833723695731
pooled,80.0,13,Static-E5,,0.016001945038386478,0.0,0.001358080579447714,0.001358080579447714,0.40990248148065617
pooled,80.0,17,CWC,0.04374037056238793,0.01835001971110673,0.0006673693597815223,0.004076086956521739,0.004076086956521739,0.45273880063446226
pooled,80.0,17,StaticBest-cal,,0.0541196577877116,0.02281729377404956,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,CostGreedy-cal,,0.0541196577877116,0.02281729377404956,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,Static-Qwen3,,0.0541196577877116,0.02281729377404956,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,Static-SPLADE,,0.01835001971110673,0.0006673693597815223,0.002935199819372319,0.002935199819372319,0.5518966146469927
pooled,80.0,17,Static-ColBERTv2,,0.5345737426471622,0.49994182329832504,0.8795997417688831,0.8795997417688831,0.6243242048096022
pooled,80.0,17,Static-E5,,0.015706960505459326,0.0,0.0013547076089410702,0.0013547076089410702,0.4144568536298275
pooled,80.0,23,CWC,0.03763242286429706,0.016251086497325033,0.0,0.0031418312387791743,0.0031418312387791743,0.5510370778026369
pooled,80.0,23,StaticBest-cal,,0.04637065462060161,0.016996728371656538,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,CostGreedy-cal,,0.04637065462060161,0.016996728371656538,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,Static-Qwen3,,0.04637065462060161,0.016996728371656538,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,Static-SPLADE,,0.016251086497325033,0.0,0.0031418312387791743,0.0031418312387791743,0.5510370778026369
pooled,80.0,23,Static-ColBERTv2,,0.528835512303127,0.4948117794407426,0.8791707159054097,0.8791707159054097,0.629417372721652
pooled,80.0,23,Static-E5,,0.018858240436225138,0.0006583033218998396,0.0011220825852782765,0.0011220825852782765,0.4111601625104104
pooled,80.0,29,CWC,0.039417851814417745,0.017073593323388217,0.0,0.0006740815638692282,0.0006740815638692282,0.43261923879498726
pooled,80.0,29,StaticBest-cal,,0.05590676195482573,0.02311613335983907,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,CostGreedy-cal,,0.05590676195482573,0.02311613335983907,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,Static-Qwen3,,0.05590676195482573,0.02311613335983907,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,Static-SPLADE,,0.017073593323388217,0.0,0.002896613190730838,0.002896613190730838,0.5499985042858595
pooled,80.0,29,Static-ColBERTv2,,0.555147053014073,0.5181166851170308,0.8704713049054184,0.8704713049054184,0.6295495865803189
pooled,80.0,29,Static-E5,,0.021109521693280987,0.0010190671955377837,0.0011140819964349377,0.0011140819964349377,0.41143009898642613
pooled,80.0,31,CWC,0.047575608638065855,0.019038212603170804,0.000639104434761792,0.0034048348655090228,0.0034048348655090228,0.3471577755986713
pooled,80.0,31,StaticBest-cal,,0.05634715769650973,0.023393519979158565,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,CostGreedy-cal,,0.05634715769650973,0.023393519979158565,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,Static-Qwen3,,0.05634715769650973,0.023393519979158565,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,Static-SPLADE,,0.019038212603170804,0.000639104434761792,0.002484752654167608,0.002484752654167608,0.549426507394236
pooled,80.0,31,Static-ColBERTv2,,0.5363773683569028,0.5034158541900876,0.887240356083086,0.887240356083086,0.6277111532948136
pooled,80.0,31,Static-E5,,0.016507094212868573,0.0,0.00112943302462164,0.00112943302462164,0.41180990660839883
pooled,80.0,37,CWC,0.04511659510439388,0.018587540911753624,0.0006848448220045434,0.004344919786096257,0.004344919786096257,0.44658793812505565
pooled,80.0,37,StaticBest-cal,,0.06355560972658535,0.030168284612645497,0.06029477445288075,0.06029477445288075,0.5975638461989632
pooled,80.0,37,CostGreedy-cal,,0.06355560972658535,0.030168284612645497,0.06029477445288075,0.06029477445288075,0.5975638461989632
pooled,80.0,37,Static-Qwen3,,0.06355560972658535,0.030168284612645497,0.06029477445288075,0.06029477445288075,0.5975638461989632
pooled,80.0,37,Static-SPLADE,,0.018587540911753624,0.0006848448220045434,0.0029030817329164806,0.0029030817329164806,0.5475296555310069
pooled,80.0,37,Static-ColBERTv2,,0.5388339617793569,0.5033075147300936,0.8815274151436031,0.8815274151436031,0.6265938010207986
pooled,80.0,37,Static-E5,,0.015875271634315357,0.0,0.0013398838767306833,0.0013398838767306833,0.4109913406198984
pooled,80.0,41,CWC,0.044443755824212186,0.018783719799553497,0.0006591208028441355,0.004077471967380225,0.004077471967380225,0.3426014522329196
pooled,80.0,41,StaticBest-cal,,0.06367511687760607,0.029644159107442287,0.06265439029867505,0.06265439029867505,0.6004658688235281
pooled,80.0,41,CostGreedy-cal,,0.06367511687760607,0.029644159107442287,0.06265439029867505,0.06265439029867505,0.6004658688235281
pooled,80.0,41,Static-Qwen3,,0.06367511687760607,0.029644159107442287,0.06265439029867505,0.06265439029867505,0.6004658688235281
