fraction,n_cells,delta,n_cal_mean,gamma_mean,R_cert,R_floor,R_statistical,Lhat,realized,ndcg,valid
0.1,2,0.05,67.6,2.4241137709914518,0.43188680532503615,0.011636538613187163,0.420250266711849,0.002931658100133257,0.00886532989213156,0.5502000176597716,1.0
0.1,2,0.1,67.6,2.4241137709914518,0.36745728565306096,0.011636538613187163,0.35582074703987376,0.002931658100133257,0.00886532989213156,0.5502000176597716,1.0
0.1,3,0.05,45.06666666666667,2.6841289125603973,0.70203556210844,0.12919360035954724,0.5731890304568102,0.011574074074074073,0.008964379940418106,0.5574429128065919,1.0
0.1,3,0.1,45.06666666666667,2.6841289125603973,0.6336069741458814,0.12919360035954724,0.5044133737863342,0.011574074074074073,0.008964379940418106,0.5574429128065919,1.0
0.1,4,0.05,33.8,2.0678720613366504,0.7509147775967272,0.15923992627902717,0.5994712299428695,0.008680555555555556,0.009118650080033897,0.5646383232593636,1.0
0.1,4,0.1,33.8,2.0678720613366504,0.6879295615068932,0.15923992627902717,0.528689635227866,0.008680555555555556,0.009118650080033897,0.5646383232593636,1.0
0.2,2,0.05,136.8,2.500035616268578,0.2844084058338064,0.028262253536132504,0.2561461522976739,0.008164564243389658,0.005123256350411179,0.5568372754900731,1.0
0.2,2,0.1,136.8,2.500035616268578,0.24768077250538414,0.028262253536132504,0.2194185189692516,0.008164564243389658,0.005123256350411179,0.5568372754900731,1.0
0.2,3,0.05,91.2,2.1021501822425583,0.3224866046848456,0.008859731247897823,0.31362687343694773,0.006059178015586942,0.005002010445388909,0.5773445049032523,1.0
0.2,3,0.1,91.2,2.1021501822425583,0.27872786619632545,0.008859731247897823,0.2698681349484276,0.006059178015586942,0.005002010445388909,0.5773445049032523,1.0
0.2,4,0.05,68.4,1.9822941588957437,0.3498917127979246,0.007640091611475636,0.342251621186449,0.0042395054629097186,0.005032270294159487,0.5804532885522156,1.0
0.2,4,0.1,68.4,1.9822941588957437,0.30789416851976237,0.007640091611475636,0.30025407690828676,0.0042395054629097186,0.005032270294159487,0.5804532885522156,1.0
0.35,2,0.05,242.4,2.496579061944768,0.11918324985814166,0.0020387078944083216,0.11714454196373332,0.0005797101449275362,0.004289739234981981,0.49144183895718213,1.0
0.35,2,0.1,242.4,2.496579061944768,0.10097591399682278,0.0020387078944083216,0.09893720610241445,0.0005797101449275362,0.004289739234981981,0.49144183895718213,1.0
0.35,3,0.05,161.6,2.559327055463549,0.1816810577191783,0.0021245514038420944,0.1795565063153362,0.0017777777777777779,0.004360552689227446,0.5301409763115605,1.0
0.35,3,0.1,161.6,2.559327055463549,0.15600551172769664,0.0021245514038420944,0.15388096032385454,0.0017777777777777779,0.004360552689227446,0.5301409763115605,1.0
0.35,4,0.05,121.2,2.448373741579064,0.21129067609113544,0.0021245514038420944,0.2091661246872934,0.0013333333333333335,0.004360010038508922,0.5299898028111939,1.0
0.35,4,0.1,121.2,2.448373741579064,0.18542308106814887,0.0021245514038420944,0.18329852966430676,0.0013333333333333335,0.004360010038508922,0.5299898028111939,1.0
0.5,2,0.05,340.6,2.3865781655232987,0.08603061932257175,0.0030367091570574043,0.08299391016551436,0.0007956527889103682,0.002686573304948366,0.4342216665013866,1.0
0.5,2,0.1,340.6,2.3865781655232987,0.07336935103495928,0.0030367091570574043,0.07033264187790188,0.0007956527889103682,0.002686573304948366,0.4342216665013866,1.0
